chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold10.664	scaffold10	664	F	4	0.00	100.00
scaffold10.730	scaffold10	730	F	6	16.67	83.33
scaffold10.740	scaffold10	740	F	5	0.00	100.00
scaffold10.749	scaffold10	749	F	14	0.00	100.00
scaffold10.751	scaffold10	751	F	9	0.00	100.00
scaffold10.780	scaffold10	780	F	16	6.25	93.75
scaffold10.830	scaffold10	830	F	17	0.00	100.00
scaffold10.917	scaffold10	917	F	24	0.00	100.00
scaffold10.920	scaffold10	920	F	34	2.94	97.06
scaffold10.982	scaffold10	982	F	5	0.00	100.00
scaffold10.1029	scaffold10	1029	F	7	0.00	100.00
scaffold10.1041	scaffold10	1041	F	3	0.00	100.00
scaffold10.1052	scaffold10	1052	F	6	0.00	100.00
scaffold10.1089	scaffold10	1089	F	4	0.00	100.00
scaffold10.1258	scaffold10	1258	F	10	50.00	50.00
scaffold10.1349	scaffold10	1349	F	8	12.50	87.50
scaffold10.1503	scaffold10	1503	F	5	0.00	100.00
scaffold10.1605	scaffold10	1605	F	4	0.00	100.00
scaffold10.1615	scaffold10	1615	F	4	25.00	75.00
scaffold10.1646	scaffold10	1646	F	9	0.00	100.00
scaffold10.1690	scaffold10	1690	F	7	0.00	100.00
scaffold10.1715	scaffold10	1715	F	7	42.86	57.14
scaffold10.2561	scaffold10	2561	F	6	0.00	100.00
scaffold10.2679	scaffold10	2679	F	3	0.00	100.00
scaffold100.189	scaffold100	189	F	4	50.00	50.00
scaffold100.213	scaffold100	213	F	3	33.33	66.67
scaffold100.229	scaffold100	229	F	5	60.00	40.00
scaffold100.264	scaffold100	264	F	6	50.00	50.00
scaffold100.277	scaffold100	277	F	11	0.00	100.00
scaffold100.312	scaffold100	312	F	4	25.00	75.00
scaffold100.324	scaffold100	324	F	9	11.11	88.89
scaffold100.682	scaffold100	682	F	8	0.00	100.00
scaffold100.1152	scaffold100	1152	F	7	0.00	100.00
scaffold100.1174	scaffold100	1174	F	7	0.00	100.00
scaffold100.1262	scaffold100	1262	F	5	20.00	80.00
scaffold100.1277	scaffold100	1277	F	5	0.00	100.00
scaffold100.1290	scaffold100	1290	F	9	11.11	88.89
scaffold100.1299	scaffold100	1299	F	3	0.00	100.00
scaffold100.1432	scaffold100	1432	F	3	0.00	100.00
scaffold100.1712	scaffold100	1712	F	3	0.00	100.00
scaffold100.2463	scaffold100	2463	F	5	20.00	80.00
scaffold100.2477	scaffold100	2477	F	3	33.33	66.67
scaffold100.2495	scaffold100	2495	F	3	33.33	66.67
scaffold100.2502	scaffold100	2502	F	3	33.33	66.67
scaffold100.2581	scaffold100	2581	F	4	0.00	100.00
scaffold100.2702	scaffold100	2702	F	4	0.00	100.00
scaffold100.3015	scaffold100	3015	F	3	0.00	100.00
scaffold100.3048	scaffold100	3048	F	7	0.00	100.00
scaffold100.3060	scaffold100	3060	F	4	0.00	100.00
scaffold100.6138	scaffold100	6138	F	3	33.33	66.67
scaffold100.6159	scaffold100	6159	F	12	8.33	91.67
scaffold100.6167	scaffold100	6167	F	15	0.00	100.00
scaffold100.6176	scaffold100	6176	F	10	0.00	100.00
scaffold100.6186	scaffold100	6186	F	10	0.00	100.00
scaffold100.6279	scaffold100	6279	F	5	0.00	100.00
scaffold100.6922	scaffold100	6922	F	3	0.00	100.00
scaffold100.7206	scaffold100	7206	F	3	0.00	100.00
scaffold1000.29	scaffold1000	29	F	10	0.00	100.00
scaffold1001.57	scaffold1001	57	F	13	15.38	84.62
scaffold1001.420	scaffold1001	420	F	17	5.88	94.12
scaffold1001.888	scaffold1001	888	F	8	12.50	87.50
scaffold1002.25	scaffold1002	25	F	4	25.00	75.00
scaffold1002.37	scaffold1002	37	F	15	0.00	100.00
scaffold1002.53	scaffold1002	53	F	19	5.26	94.74
scaffold1002.57	scaffold1002	57	F	7	0.00	100.00
scaffold1002.79	scaffold1002	79	F	17	5.88	94.12
scaffold1002.104	scaffold1002	104	F	19	5.26	94.74
scaffold1002.140	scaffold1002	140	F	8	0.00	100.00
scaffold1002.153	scaffold1002	153	F	3	0.00	100.00
scaffold1002.191	scaffold1002	191	F	11	0.00	100.00
scaffold1002.245	scaffold1002	245	F	6	0.00	100.00
scaffold1002.1059	scaffold1002	1059	F	4	0.00	100.00
scaffold1002.1093	scaffold1002	1093	F	4	0.00	100.00
scaffold1002.1099	scaffold1002	1099	F	4	0.00	100.00
scaffold1002.1133	scaffold1002	1133	F	3	0.00	100.00
scaffold1002.1193	scaffold1002	1193	F	6	0.00	100.00
scaffold1002.1241	scaffold1002	1241	F	7	0.00	100.00
scaffold1002.1291	scaffold1002	1291	F	8	0.00	100.00
scaffold1002.1302	scaffold1002	1302	F	7	42.86	57.14
scaffold1002.1328	scaffold1002	1328	F	12	0.00	100.00
scaffold1002.1380	scaffold1002	1380	F	5	0.00	100.00
scaffold1002.1427	scaffold1002	1427	F	7	0.00	100.00
scaffold1002.1432	scaffold1002	1432	F	6	0.00	100.00
scaffold1002.1458	scaffold1002	1458	F	4	0.00	100.00
scaffold1002.1467	scaffold1002	1467	F	3	0.00	100.00
scaffold1002.1601	scaffold1002	1601	F	3	0.00	100.00
scaffold1002.1708	scaffold1002	1708	F	3	0.00	100.00
scaffold1002.1711	scaffold1002	1711	F	5	0.00	100.00
scaffold1002.1730	scaffold1002	1730	F	3	0.00	100.00
scaffold1002.1830	scaffold1002	1830	F	10	0.00	100.00
scaffold1002.1841	scaffold1002	1841	F	12	16.67	83.33
scaffold1002.1859	scaffold1002	1859	F	3	0.00	100.00
scaffold1002.2009	scaffold1002	2009	F	8	0.00	100.00
scaffold1002.2034	scaffold1002	2034	F	8	0.00	100.00
scaffold1002.2077	scaffold1002	2077	F	3	0.00	100.00
scaffold1002.2091	scaffold1002	2091	F	3	0.00	100.00
scaffold1002.2209	scaffold1002	2209	F	6	0.00	100.00
scaffold1002.2216	scaffold1002	2216	F	3	0.00	100.00
scaffold1002.2754	scaffold1002	2754	F	3	0.00	100.00
scaffold1002.2779	scaffold1002	2779	F	3	0.00	100.00
scaffold1002.2905	scaffold1002	2905	F	3	0.00	100.00
scaffold1002.2993	scaffold1002	2993	F	3	0.00	100.00
scaffold1002.3012	scaffold1002	3012	F	31	6.45	93.55
scaffold1002.3047	scaffold1002	3047	F	3	0.00	100.00
scaffold1002.3057	scaffold1002	3057	F	4	0.00	100.00
scaffold1002.3060	scaffold1002	3060	F	5	0.00	100.00
scaffold1002.3091	scaffold1002	3091	F	7	0.00	100.00
scaffold1002.3101	scaffold1002	3101	F	4	0.00	100.00
scaffold1002.3123	scaffold1002	3123	F	7	0.00	100.00
scaffold1002.3173	scaffold1002	3173	F	3	0.00	100.00
scaffold1002.3201	scaffold1002	3201	F	5	0.00	100.00
scaffold1002.3287	scaffold1002	3287	F	4	0.00	100.00
scaffold1002.3324	scaffold1002	3324	F	6	0.00	100.00
scaffold1002.3332	scaffold1002	3332	F	4	0.00	100.00
scaffold1002.3414	scaffold1002	3414	F	3	0.00	100.00
scaffold1002.3546	scaffold1002	3546	F	6	0.00	100.00
scaffold1002.3616	scaffold1002	3616	F	4	0.00	100.00
scaffold1002.3625	scaffold1002	3625	F	5	0.00	100.00
scaffold1002.3709	scaffold1002	3709	F	5	0.00	100.00
scaffold1002.3735	scaffold1002	3735	F	6	0.00	100.00
scaffold1002.3749	scaffold1002	3749	F	9	0.00	100.00
scaffold1002.3754	scaffold1002	3754	F	3	0.00	100.00
scaffold1002.3797	scaffold1002	3797	F	3	0.00	100.00
scaffold1002.3803	scaffold1002	3803	F	3	0.00	100.00
scaffold1002.3809	scaffold1002	3809	F	4	25.00	75.00
scaffold1002.3813	scaffold1002	3813	F	5	0.00	100.00
scaffold1002.3820	scaffold1002	3820	F	4	0.00	100.00
scaffold1002.3831	scaffold1002	3831	F	5	0.00	100.00
scaffold1002.3867	scaffold1002	3867	F	4	0.00	100.00
scaffold1002.3962	scaffold1002	3962	F	3	0.00	100.00
scaffold1002.3984	scaffold1002	3984	F	4	0.00	100.00
scaffold1002.3999	scaffold1002	3999	F	3	0.00	100.00
scaffold1002.4027	scaffold1002	4027	F	3	0.00	100.00
scaffold1002.5173	scaffold1002	5173	F	3	33.33	66.67
scaffold1002.5689	scaffold1002	5689	F	3	0.00	100.00
scaffold1002.5700	scaffold1002	5700	F	4	0.00	100.00
scaffold1002.5862	scaffold1002	5862	F	3	0.00	100.00
scaffold1002.6096	scaffold1002	6096	F	4	0.00	100.00
scaffold1002.6117	scaffold1002	6117	F	5	0.00	100.00
scaffold1002.6121	scaffold1002	6121	F	4	0.00	100.00
scaffold1002.6222	scaffold1002	6222	F	4	0.00	100.00
scaffold1002.6854	scaffold1002	6854	F	3	0.00	100.00
scaffold1002.8396	scaffold1002	8396	F	3	0.00	100.00
scaffold1002.8409	scaffold1002	8409	F	3	0.00	100.00
scaffold1002.9154	scaffold1002	9154	F	4	0.00	100.00
scaffold1002.9550	scaffold1002	9550	F	4	0.00	100.00
scaffold1002.9625	scaffold1002	9625	F	4	0.00	100.00
scaffold1002.10377	scaffold1002	10377	F	3	0.00	100.00
scaffold1002.11659	scaffold1002	11659	F	4	0.00	100.00
scaffold1002.11679	scaffold1002	11679	F	4	0.00	100.00
scaffold1002.12145	scaffold1002	12145	F	3	33.33	66.67
scaffold1002.12173	scaffold1002	12173	F	3	0.00	100.00
scaffold1002.12376	scaffold1002	12376	F	3	0.00	100.00
scaffold1002.12479	scaffold1002	12479	F	3	0.00	100.00
scaffold1002.12549	scaffold1002	12549	F	3	0.00	100.00
scaffold1002.12719	scaffold1002	12719	F	4	50.00	50.00
scaffold1002.12855	scaffold1002	12855	F	3	0.00	100.00
scaffold1002.12860	scaffold1002	12860	F	3	0.00	100.00
scaffold1003.99	scaffold1003	99	F	6	16.67	83.33
scaffold1003.483	scaffold1003	483	F	10	0.00	100.00
scaffold1003.486	scaffold1003	486	F	5	0.00	100.00
scaffold1003.501	scaffold1003	501	F	11	0.00	100.00
scaffold1003.505	scaffold1003	505	F	7	0.00	100.00
scaffold1003.688	scaffold1003	688	F	5	0.00	100.00
scaffold1003.709	scaffold1003	709	F	17	0.00	100.00
scaffold1003.738	scaffold1003	738	F	19	0.00	100.00
scaffold1003.743	scaffold1003	743	F	11	0.00	100.00
scaffold1003.758	scaffold1003	758	F	6	0.00	100.00
scaffold1003.1005	scaffold1003	1005	F	5	20.00	80.00
scaffold1004.32	scaffold1004	32	F	11	9.09	90.91
scaffold1004.67	scaffold1004	67	F	15	0.00	100.00
scaffold1004.73	scaffold1004	73	F	23	4.35	95.65
scaffold1004.83	scaffold1004	83	F	24	4.17	95.83
scaffold1004.88	scaffold1004	88	F	28	0.00	100.00
scaffold1004.104	scaffold1004	104	F	32	0.00	100.00
scaffold1004.134	scaffold1004	134	F	20	10.00	90.00
scaffold1004.137	scaffold1004	137	F	27	0.00	100.00
scaffold1004.207	scaffold1004	207	F	5	20.00	80.00
scaffold1004.218	scaffold1004	218	F	5	0.00	100.00
scaffold1004.237	scaffold1004	237	F	4	0.00	100.00
scaffold1004.246	scaffold1004	246	F	3	0.00	100.00
scaffold1004.252	scaffold1004	252	F	5	0.00	100.00
scaffold1004.281	scaffold1004	281	F	6	0.00	100.00
scaffold1004.305	scaffold1004	305	F	4	0.00	100.00
scaffold1004.317	scaffold1004	317	F	5	20.00	80.00
scaffold1004.334	scaffold1004	334	F	11	0.00	100.00
scaffold1004.357	scaffold1004	357	F	7	0.00	100.00
scaffold1004.369	scaffold1004	369	F	5	0.00	100.00
scaffold1004.372	scaffold1004	372	F	6	0.00	100.00
scaffold1004.383	scaffold1004	383	F	4	0.00	100.00
scaffold1004.432	scaffold1004	432	F	4	0.00	100.00
scaffold1004.555	scaffold1004	555	F	5	0.00	100.00
scaffold1004.641	scaffold1004	641	F	11	0.00	100.00
scaffold1004.715	scaffold1004	715	F	3	0.00	100.00
scaffold1004.851	scaffold1004	851	F	4	0.00	100.00
scaffold1004.974	scaffold1004	974	F	4	0.00	100.00
scaffold1004.1129	scaffold1004	1129	F	7	0.00	100.00
scaffold1004.1195	scaffold1004	1195	F	5	0.00	100.00
scaffold1004.1210	scaffold1004	1210	F	8	0.00	100.00
scaffold1004.1214	scaffold1004	1214	F	7	14.29	85.71
scaffold1004.1234	scaffold1004	1234	F	4	0.00	100.00
scaffold1004.1244	scaffold1004	1244	F	3	0.00	100.00
scaffold1004.1266	scaffold1004	1266	F	4	0.00	100.00
scaffold1004.1342	scaffold1004	1342	F	3	0.00	100.00
scaffold1004.1998	scaffold1004	1998	F	5	0.00	100.00
scaffold1004.3167	scaffold1004	3167	F	3	0.00	100.00
scaffold1004.3358	scaffold1004	3358	F	4	0.00	100.00
scaffold1004.5384	scaffold1004	5384	F	3	0.00	100.00
scaffold1004.5439	scaffold1004	5439	F	7	0.00	100.00
scaffold1004.5573	scaffold1004	5573	F	4	0.00	100.00
scaffold1004.5684	scaffold1004	5684	F	12	0.00	100.00
scaffold1004.6176	scaffold1004	6176	F	3	0.00	100.00
scaffold1004.6639	scaffold1004	6639	F	3	0.00	100.00
scaffold1004.6764	scaffold1004	6764	F	4	0.00	100.00
scaffold1004.6774	scaffold1004	6774	F	3	0.00	100.00
scaffold1004.6778	scaffold1004	6778	F	3	0.00	100.00
scaffold1004.6797	scaffold1004	6797	F	3	0.00	100.00
scaffold1004.7254	scaffold1004	7254	F	3	0.00	100.00
scaffold1004.8366	scaffold1004	8366	F	3	0.00	100.00
scaffold1004.8547	scaffold1004	8547	F	5	0.00	100.00
scaffold1004.9472	scaffold1004	9472	F	4	0.00	100.00
scaffold1004.9565	scaffold1004	9565	F	5	0.00	100.00
scaffold1004.9578	scaffold1004	9578	F	4	0.00	100.00
scaffold1004.9765	scaffold1004	9765	F	4	0.00	100.00
scaffold1004.9833	scaffold1004	9833	F	3	0.00	100.00
scaffold1004.9939	scaffold1004	9939	F	3	0.00	100.00
scaffold1004.10017	scaffold1004	10017	F	3	0.00	100.00
scaffold1004.13241	scaffold1004	13241	F	3	0.00	100.00
scaffold1004.14265	scaffold1004	14265	F	8	12.50	87.50
scaffold1004.14314	scaffold1004	14314	F	7	0.00	100.00
scaffold1004.14436	scaffold1004	14436	F	20	0.00	100.00
scaffold1004.14512	scaffold1004	14512	F	8	0.00	100.00
scaffold1004.14522	scaffold1004	14522	F	8	0.00	100.00
scaffold1004.14531	scaffold1004	14531	F	8	0.00	100.00
scaffold1004.15159	scaffold1004	15159	F	3	0.00	100.00
scaffold1004.15176	scaffold1004	15176	F	3	0.00	100.00
scaffold1004.15210	scaffold1004	15210	F	3	0.00	100.00
scaffold1004.15227	scaffold1004	15227	F	5	0.00	100.00
scaffold1004.15940	scaffold1004	15940	F	5	0.00	100.00
scaffold1004.15956	scaffold1004	15956	F	4	0.00	100.00
scaffold1004.15974	scaffold1004	15974	F	3	0.00	100.00
scaffold1004.17131	scaffold1004	17131	F	3	0.00	100.00
scaffold1004.17333	scaffold1004	17333	F	4	0.00	100.00
scaffold1004.17350	scaffold1004	17350	F	4	0.00	100.00
scaffold1004.18504	scaffold1004	18504	F	5	20.00	80.00
scaffold1004.18525	scaffold1004	18525	F	5	20.00	80.00
scaffold1004.18531	scaffold1004	18531	F	6	16.67	83.33
scaffold1004.18558	scaffold1004	18558	F	3	0.00	100.00
scaffold1004.18576	scaffold1004	18576	F	3	66.67	33.33
scaffold1004.18590	scaffold1004	18590	F	3	33.33	66.67
scaffold1005.21	scaffold1005	21	F	7	0.00	100.00
scaffold1005.113	scaffold1005	113	F	17	23.53	76.47
scaffold1005.226	scaffold1005	226	F	3	0.00	100.00
scaffold1005.247	scaffold1005	247	F	5	0.00	100.00
scaffold1005.354	scaffold1005	354	F	7	0.00	100.00
scaffold1005.394	scaffold1005	394	F	3	0.00	100.00
scaffold1005.413	scaffold1005	413	F	3	0.00	100.00
scaffold1005.473	scaffold1005	473	F	3	0.00	100.00
scaffold1005.488	scaffold1005	488	F	3	0.00	100.00
scaffold1005.541	scaffold1005	541	F	3	0.00	100.00
scaffold1005.575	scaffold1005	575	F	3	0.00	100.00
scaffold1005.706	scaffold1005	706	F	3	0.00	100.00
scaffold1005.733	scaffold1005	733	F	7	0.00	100.00
scaffold1005.755	scaffold1005	755	F	6	0.00	100.00
scaffold1005.1033	scaffold1005	1033	F	8	0.00	100.00
scaffold1005.1072	scaffold1005	1072	F	3	0.00	100.00
scaffold1005.1189	scaffold1005	1189	F	4	0.00	100.00
scaffold1005.1228	scaffold1005	1228	F	4	0.00	100.00
scaffold1005.1329	scaffold1005	1329	F	4	0.00	100.00
scaffold1005.1376	scaffold1005	1376	F	5	0.00	100.00
scaffold1005.2196	scaffold1005	2196	F	28	0.00	100.00
scaffold1005.2217	scaffold1005	2217	F	27	0.00	100.00
scaffold1005.2248	scaffold1005	2248	F	3	0.00	100.00
scaffold1006.54	scaffold1006	54	F	20	0.00	100.00
scaffold1006.122	scaffold1006	122	F	13	0.00	100.00
scaffold1006.187	scaffold1006	187	F	3	0.00	100.00
scaffold1006.494	scaffold1006	494	F	5	0.00	100.00
scaffold1006.512	scaffold1006	512	F	3	0.00	100.00
scaffold1006.610	scaffold1006	610	F	7	0.00	100.00
scaffold1006.625	scaffold1006	625	F	5	20.00	80.00
scaffold1006.670	scaffold1006	670	F	3	0.00	100.00
scaffold1006.759	scaffold1006	759	F	6	0.00	100.00
scaffold1006.1092	scaffold1006	1092	F	5	0.00	100.00
scaffold1006.1110	scaffold1006	1110	F	6	0.00	100.00
scaffold1006.1571	scaffold1006	1571	F	5	0.00	100.00
scaffold1007.32	scaffold1007	32	F	8	12.50	87.50
scaffold1007.41	scaffold1007	41	F	11	9.09	90.91
scaffold1007.105	scaffold1007	105	F	8	0.00	100.00
scaffold1007.117	scaffold1007	117	F	13	0.00	100.00
scaffold1007.146	scaffold1007	146	F	10	0.00	100.00
scaffold1007.168	scaffold1007	168	F	3	0.00	100.00
scaffold1007.177	scaffold1007	177	F	6	16.67	83.33
scaffold1007.282	scaffold1007	282	F	13	30.77	69.23
scaffold1007.293	scaffold1007	293	F	13	7.69	92.31
scaffold1007.342	scaffold1007	342	F	7	0.00	100.00
scaffold1007.771	scaffold1007	771	F	3	0.00	100.00
scaffold1007.914	scaffold1007	914	F	8	0.00	100.00
scaffold1007.923	scaffold1007	923	F	8	0.00	100.00
scaffold1007.1076	scaffold1007	1076	F	4	0.00	100.00
scaffold1007.1865	scaffold1007	1865	F	5	0.00	100.00
scaffold1007.1869	scaffold1007	1869	F	4	0.00	100.00
scaffold1007.1897	scaffold1007	1897	F	9	0.00	100.00
scaffold1007.1905	scaffold1007	1905	F	6	0.00	100.00
scaffold1007.1930	scaffold1007	1930	F	3	0.00	100.00
scaffold1007.1942	scaffold1007	1942	F	4	0.00	100.00
scaffold1007.1962	scaffold1007	1962	F	8	0.00	100.00
scaffold1007.1987	scaffold1007	1987	F	12	0.00	100.00
scaffold1007.2000	scaffold1007	2000	F	4	0.00	100.00
scaffold1007.2056	scaffold1007	2056	F	4	0.00	100.00
scaffold1007.2112	scaffold1007	2112	F	3	0.00	100.00
scaffold1007.2128	scaffold1007	2128	F	4	0.00	100.00
scaffold1007.2140	scaffold1007	2140	F	5	0.00	100.00
scaffold1007.2197	scaffold1007	2197	F	4	0.00	100.00
scaffold1007.2206	scaffold1007	2206	F	5	0.00	100.00
scaffold1007.2255	scaffold1007	2255	F	12	0.00	100.00
scaffold1007.2261	scaffold1007	2261	F	6	0.00	100.00
scaffold1007.2279	scaffold1007	2279	F	8	0.00	100.00
scaffold1007.2309	scaffold1007	2309	F	7	0.00	100.00
scaffold1007.2415	scaffold1007	2415	F	7	0.00	100.00
scaffold1007.2453	scaffold1007	2453	F	4	0.00	100.00
scaffold1007.2500	scaffold1007	2500	F	4	0.00	100.00
scaffold1007.2725	scaffold1007	2725	F	3	0.00	100.00
scaffold1007.2873	scaffold1007	2873	F	4	0.00	100.00
scaffold1007.3139	scaffold1007	3139	F	5	0.00	100.00
scaffold1007.3180	scaffold1007	3180	F	5	0.00	100.00
scaffold1007.3244	scaffold1007	3244	F	3	0.00	100.00
scaffold1007.3372	scaffold1007	3372	F	6	0.00	100.00
scaffold1007.3411	scaffold1007	3411	F	3	0.00	100.00
scaffold1007.4192	scaffold1007	4192	F	3	66.67	33.33
scaffold1007.4196	scaffold1007	4196	F	3	0.00	100.00
scaffold1007.4653	scaffold1007	4653	F	3	0.00	100.00
scaffold1007.4677	scaffold1007	4677	F	3	0.00	100.00
scaffold1007.4799	scaffold1007	4799	F	4	0.00	100.00
scaffold1007.4821	scaffold1007	4821	F	5	20.00	80.00
scaffold1007.5081	scaffold1007	5081	F	5	0.00	100.00
scaffold1007.5087	scaffold1007	5087	F	3	0.00	100.00
scaffold1007.6379	scaffold1007	6379	F	7	14.29	85.71
scaffold1007.6393	scaffold1007	6393	F	7	0.00	100.00
scaffold1007.6433	scaffold1007	6433	F	3	33.33	66.67
scaffold1007.6435	scaffold1007	6435	F	3	33.33	66.67
scaffold1007.6438	scaffold1007	6438	F	3	0.00	100.00
scaffold1007.6585	scaffold1007	6585	F	5	0.00	100.00
scaffold1007.6723	scaffold1007	6723	F	3	0.00	100.00
scaffold1007.7530	scaffold1007	7530	F	5	0.00	100.00
scaffold1007.7577	scaffold1007	7577	F	3	0.00	100.00
scaffold1007.7726	scaffold1007	7726	F	3	0.00	100.00
scaffold1008.25	scaffold1008	25	F	6	0.00	100.00
scaffold1008.45	scaffold1008	45	F	5	0.00	100.00
scaffold1008.53	scaffold1008	53	F	9	0.00	100.00
scaffold1008.56	scaffold1008	56	F	8	25.00	75.00
scaffold1008.67	scaffold1008	67	F	6	0.00	100.00
scaffold1008.81	scaffold1008	81	F	9	0.00	100.00
scaffold1008.111	scaffold1008	111	F	11	0.00	100.00
scaffold1008.129	scaffold1008	129	F	11	0.00	100.00
scaffold1008.246	scaffold1008	246	F	11	0.00	100.00
scaffold1008.290	scaffold1008	290	F	16	0.00	100.00
scaffold1008.330	scaffold1008	330	F	8	0.00	100.00
scaffold1008.346	scaffold1008	346	F	9	0.00	100.00
scaffold1008.353	scaffold1008	353	F	9	0.00	100.00
scaffold1008.385	scaffold1008	385	F	14	0.00	100.00
scaffold1008.429	scaffold1008	429	F	19	5.26	94.74
scaffold1008.479	scaffold1008	479	F	10	0.00	100.00
scaffold1008.501	scaffold1008	501	F	9	0.00	100.00
scaffold1008.540	scaffold1008	540	F	5	0.00	100.00
scaffold1008.560	scaffold1008	560	F	16	0.00	100.00
scaffold1008.633	scaffold1008	633	F	5	0.00	100.00
scaffold1008.665	scaffold1008	665	F	4	0.00	100.00
scaffold1008.667	scaffold1008	667	F	13	0.00	100.00
scaffold1008.772	scaffold1008	772	F	3	0.00	100.00
scaffold1008.820	scaffold1008	820	F	3	0.00	100.00
scaffold1008.977	scaffold1008	977	F	5	0.00	100.00
scaffold1008.1177	scaffold1008	1177	F	25	0.00	100.00
scaffold1008.1685	scaffold1008	1685	F	3	0.00	100.00
scaffold1008.1865	scaffold1008	1865	F	3	0.00	100.00
scaffold1008.1893	scaffold1008	1893	F	3	0.00	100.00
scaffold1008.1907	scaffold1008	1907	F	3	0.00	100.00
scaffold1008.1910	scaffold1008	1910	F	4	25.00	75.00
scaffold1008.1914	scaffold1008	1914	F	3	0.00	100.00
scaffold1008.1939	scaffold1008	1939	F	3	0.00	100.00
scaffold1009.486	scaffold1009	486	F	5	0.00	100.00
scaffold1009.536	scaffold1009	536	F	4	0.00	100.00
scaffold1009.554	scaffold1009	554	F	6	0.00	100.00
scaffold1009.571	scaffold1009	571	F	6	0.00	100.00
scaffold1009.822	scaffold1009	822	F	8	0.00	100.00
scaffold1009.914	scaffold1009	914	F	3	0.00	100.00
scaffold1009.922	scaffold1009	922	F	5	40.00	60.00
scaffold1009.958	scaffold1009	958	F	8	0.00	100.00
scaffold1009.969	scaffold1009	969	F	8	25.00	75.00
scaffold1009.1043	scaffold1009	1043	F	3	0.00	100.00
scaffold1009.1200	scaffold1009	1200	F	9	22.22	77.78
scaffold1009.1212	scaffold1009	1212	F	6	33.33	66.67
scaffold1009.2033	scaffold1009	2033	F	6	0.00	100.00
