chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold10.730	scaffold10	730	F	5	0.00	100.00
scaffold10.749	scaffold10	749	F	3	0.00	100.00
scaffold10.751	scaffold10	751	F	9	0.00	100.00
scaffold10.780	scaffold10	780	F	22	0.00	100.00
scaffold10.830	scaffold10	830	F	12	0.00	100.00
scaffold10.917	scaffold10	917	F	8	0.00	100.00
scaffold10.920	scaffold10	920	F	36	0.00	100.00
scaffold10.982	scaffold10	982	F	12	8.33	91.67
scaffold10.1029	scaffold10	1029	F	8	0.00	100.00
scaffold10.1041	scaffold10	1041	F	3	0.00	100.00
scaffold10.1052	scaffold10	1052	F	4	0.00	100.00
scaffold10.1089	scaffold10	1089	F	6	0.00	100.00
scaffold10.1258	scaffold10	1258	F	8	0.00	100.00
scaffold10.1349	scaffold10	1349	F	6	0.00	100.00
scaffold10.1503	scaffold10	1503	F	9	0.00	100.00
scaffold10.1605	scaffold10	1605	F	7	0.00	100.00
scaffold10.1615	scaffold10	1615	F	6	0.00	100.00
scaffold10.1646	scaffold10	1646	F	3	0.00	100.00
scaffold10.2561	scaffold10	2561	F	4	0.00	100.00
scaffold10.2679	scaffold10	2679	F	3	0.00	100.00
scaffold100.189	scaffold100	189	F	7	28.57	71.43
scaffold100.213	scaffold100	213	F	6	33.33	66.67
scaffold100.229	scaffold100	229	F	3	66.67	33.33
scaffold100.264	scaffold100	264	F	6	16.67	83.33
scaffold100.277	scaffold100	277	F	6	0.00	100.00
scaffold100.312	scaffold100	312	F	5	20.00	80.00
scaffold100.324	scaffold100	324	F	3	0.00	100.00
scaffold100.393	scaffold100	393	F	5	0.00	100.00
scaffold100.438	scaffold100	438	F	4	0.00	100.00
scaffold100.682	scaffold100	682	F	5	0.00	100.00
scaffold100.1112	scaffold100	1112	F	3	33.33	66.67
scaffold100.1152	scaffold100	1152	F	8	12.50	87.50
scaffold100.1174	scaffold100	1174	F	9	0.00	100.00
scaffold100.1262	scaffold100	1262	F	5	0.00	100.00
scaffold100.1277	scaffold100	1277	F	4	0.00	100.00
scaffold100.1290	scaffold100	1290	F	5	0.00	100.00
scaffold100.1299	scaffold100	1299	F	4	0.00	100.00
scaffold100.2463	scaffold100	2463	F	4	0.00	100.00
scaffold100.2477	scaffold100	2477	F	4	0.00	100.00
scaffold100.2495	scaffold100	2495	F	4	0.00	100.00
scaffold100.2502	scaffold100	2502	F	4	0.00	100.00
scaffold100.3048	scaffold100	3048	F	3	0.00	100.00
scaffold100.3060	scaffold100	3060	F	3	0.00	100.00
scaffold100.3063	scaffold100	3063	F	4	25.00	75.00
scaffold100.3071	scaffold100	3071	F	3	0.00	100.00
scaffold100.6279	scaffold100	6279	F	5	0.00	100.00
scaffold1000.29	scaffold1000	29	F	7	0.00	100.00
scaffold1000.488	scaffold1000	488	F	6	0.00	100.00
scaffold1001.57	scaffold1001	57	F	14	0.00	100.00
scaffold1001.420	scaffold1001	420	F	19	21.05	78.95
scaffold1001.888	scaffold1001	888	F	7	0.00	100.00
scaffold1002.25	scaffold1002	25	F	4	0.00	100.00
scaffold1002.37	scaffold1002	37	F	6	0.00	100.00
scaffold1002.53	scaffold1002	53	F	7	0.00	100.00
scaffold1002.57	scaffold1002	57	F	5	0.00	100.00
scaffold1002.79	scaffold1002	79	F	7	0.00	100.00
scaffold1002.104	scaffold1002	104	F	7	0.00	100.00
scaffold1002.140	scaffold1002	140	F	3	0.00	100.00
scaffold1002.191	scaffold1002	191	F	3	0.00	100.00
scaffold1002.245	scaffold1002	245	F	5	0.00	100.00
scaffold1002.958	scaffold1002	958	F	5	0.00	100.00
scaffold1002.1193	scaffold1002	1193	F	7	0.00	100.00
scaffold1002.1291	scaffold1002	1291	F	3	0.00	100.00
scaffold1002.1302	scaffold1002	1302	F	3	0.00	100.00
scaffold1002.1328	scaffold1002	1328	F	3	0.00	100.00
scaffold1002.1339	scaffold1002	1339	F	3	0.00	100.00
scaffold1002.1380	scaffold1002	1380	F	4	0.00	100.00
scaffold1002.1385	scaffold1002	1385	F	8	50.00	50.00
scaffold1002.1427	scaffold1002	1427	F	4	0.00	100.00
scaffold1002.1432	scaffold1002	1432	F	3	0.00	100.00
scaffold1002.1708	scaffold1002	1708	F	3	0.00	100.00
scaffold1002.1711	scaffold1002	1711	F	3	0.00	100.00
scaffold1002.1830	scaffold1002	1830	F	7	14.29	85.71
scaffold1002.1841	scaffold1002	1841	F	7	0.00	100.00
scaffold1002.2209	scaffold1002	2209	F	5	0.00	100.00
scaffold1002.2479	scaffold1002	2479	F	4	0.00	100.00
scaffold1002.2527	scaffold1002	2527	F	3	0.00	100.00
scaffold1002.2535	scaffold1002	2535	F	4	0.00	100.00
scaffold1002.2905	scaffold1002	2905	F	3	0.00	100.00
scaffold1002.3012	scaffold1002	3012	F	10	0.00	100.00
scaffold1002.3091	scaffold1002	3091	F	3	0.00	100.00
scaffold1002.3101	scaffold1002	3101	F	4	0.00	100.00
scaffold1002.3332	scaffold1002	3332	F	5	0.00	100.00
scaffold1002.3380	scaffold1002	3380	F	4	0.00	100.00
scaffold1002.3831	scaffold1002	3831	F	3	0.00	100.00
scaffold1002.3984	scaffold1002	3984	F	3	0.00	100.00
scaffold1002.3999	scaffold1002	3999	F	4	0.00	100.00
scaffold1002.4011	scaffold1002	4011	F	4	0.00	100.00
scaffold1002.4015	scaffold1002	4015	F	4	0.00	100.00
scaffold1002.4027	scaffold1002	4027	F	3	0.00	100.00
scaffold1002.4129	scaffold1002	4129	F	4	0.00	100.00
scaffold1002.4208	scaffold1002	4208	F	4	0.00	100.00
scaffold1002.9154	scaffold1002	9154	F	3	0.00	100.00
scaffold1002.9947	scaffold1002	9947	F	3	0.00	100.00
scaffold1002.10069	scaffold1002	10069	F	3	0.00	100.00
scaffold1002.10080	scaffold1002	10080	F	5	0.00	100.00
scaffold1002.11659	scaffold1002	11659	F	3	0.00	100.00
scaffold1002.12139	scaffold1002	12139	F	3	33.33	66.67
scaffold1002.12145	scaffold1002	12145	F	4	25.00	75.00
scaffold1002.12173	scaffold1002	12173	F	3	0.00	100.00
scaffold1002.12438	scaffold1002	12438	F	3	0.00	100.00
scaffold1002.12466	scaffold1002	12466	F	5	0.00	100.00
scaffold1002.12469	scaffold1002	12469	F	5	0.00	100.00
scaffold1002.12479	scaffold1002	12479	F	4	0.00	100.00
scaffold1002.12483	scaffold1002	12483	F	6	0.00	100.00
scaffold1003.99	scaffold1003	99	F	7	0.00	100.00
scaffold1003.483	scaffold1003	483	F	4	0.00	100.00
scaffold1003.486	scaffold1003	486	F	4	0.00	100.00
scaffold1003.501	scaffold1003	501	F	6	16.67	83.33
scaffold1003.709	scaffold1003	709	F	7	0.00	100.00
scaffold1003.738	scaffold1003	738	F	11	9.09	90.91
scaffold1003.743	scaffold1003	743	F	9	0.00	100.00
scaffold1003.758	scaffold1003	758	F	4	0.00	100.00
scaffold1003.1005	scaffold1003	1005	F	5	0.00	100.00
scaffold1003.1614	scaffold1003	1614	F	3	0.00	100.00
scaffold1004.32	scaffold1004	32	F	3	0.00	100.00
scaffold1004.67	scaffold1004	67	F	12	8.33	91.67
scaffold1004.73	scaffold1004	73	F	16	12.50	87.50
scaffold1004.83	scaffold1004	83	F	19	5.26	94.74
scaffold1004.88	scaffold1004	88	F	17	11.76	88.24
scaffold1004.104	scaffold1004	104	F	69	0.00	100.00
scaffold1004.134	scaffold1004	134	F	8	12.50	87.50
scaffold1004.137	scaffold1004	137	F	35	5.71	94.29
scaffold1004.207	scaffold1004	207	F	7	28.57	71.43
scaffold1004.218	scaffold1004	218	F	10	0.00	100.00
scaffold1004.237	scaffold1004	237	F	8	0.00	100.00
scaffold1004.246	scaffold1004	246	F	3	0.00	100.00
scaffold1004.252	scaffold1004	252	F	6	0.00	100.00
scaffold1004.305	scaffold1004	305	F	6	0.00	100.00
scaffold1004.317	scaffold1004	317	F	4	0.00	100.00
scaffold1004.334	scaffold1004	334	F	10	10.00	90.00
scaffold1004.353	scaffold1004	353	F	3	0.00	100.00
scaffold1004.357	scaffold1004	357	F	6	0.00	100.00
scaffold1004.369	scaffold1004	369	F	3	0.00	100.00
scaffold1004.372	scaffold1004	372	F	5	0.00	100.00
scaffold1004.383	scaffold1004	383	F	8	0.00	100.00
scaffold1004.391	scaffold1004	391	F	3	33.33	66.67
scaffold1004.641	scaffold1004	641	F	6	0.00	100.00
scaffold1004.719	scaffold1004	719	F	4	0.00	100.00
scaffold1004.851	scaffold1004	851	F	3	0.00	100.00
scaffold1004.1083	scaffold1004	1083	F	4	0.00	100.00
scaffold1004.1129	scaffold1004	1129	F	4	0.00	100.00
scaffold1004.1195	scaffold1004	1195	F	3	0.00	100.00
scaffold1004.1210	scaffold1004	1210	F	4	0.00	100.00
scaffold1004.1214	scaffold1004	1214	F	7	14.29	85.71
scaffold1004.1234	scaffold1004	1234	F	3	0.00	100.00
scaffold1004.1796	scaffold1004	1796	F	5	0.00	100.00
scaffold1004.1816	scaffold1004	1816	F	3	0.00	100.00
scaffold1004.1998	scaffold1004	1998	F	4	0.00	100.00
scaffold1004.3516	scaffold1004	3516	F	3	0.00	100.00
scaffold1004.5439	scaffold1004	5439	F	3	0.00	100.00
scaffold1004.9119	scaffold1004	9119	F	3	0.00	100.00
scaffold1004.9939	scaffold1004	9939	F	5	0.00	100.00
scaffold1004.12884	scaffold1004	12884	F	3	0.00	100.00
scaffold1004.13241	scaffold1004	13241	F	3	0.00	100.00
scaffold1004.13255	scaffold1004	13255	F	4	0.00	100.00
scaffold1004.13287	scaffold1004	13287	F	4	0.00	100.00
scaffold1004.14265	scaffold1004	14265	F	7	14.29	85.71
scaffold1004.14314	scaffold1004	14314	F	7	0.00	100.00
scaffold1004.14436	scaffold1004	14436	F	15	0.00	100.00
scaffold1004.14479	scaffold1004	14479	F	4	0.00	100.00
scaffold1004.14512	scaffold1004	14512	F	6	0.00	100.00
scaffold1004.14522	scaffold1004	14522	F	7	0.00	100.00
scaffold1004.14531	scaffold1004	14531	F	10	0.00	100.00
scaffold1004.14560	scaffold1004	14560	F	3	0.00	100.00
scaffold1004.14822	scaffold1004	14822	F	3	0.00	100.00
scaffold1004.15057	scaffold1004	15057	F	3	33.33	66.67
scaffold1004.15613	scaffold1004	15613	F	3	0.00	100.00
scaffold1004.15799	scaffold1004	15799	F	3	0.00	100.00
scaffold1004.16575	scaffold1004	16575	F	6	0.00	100.00
scaffold1004.16598	scaffold1004	16598	F	7	14.29	85.71
scaffold1004.16611	scaffold1004	16611	F	3	33.33	66.67
scaffold1004.18504	scaffold1004	18504	F	3	33.33	66.67
scaffold1004.18525	scaffold1004	18525	F	4	50.00	50.00
scaffold1004.18531	scaffold1004	18531	F	4	75.00	25.00
scaffold1005.21	scaffold1005	21	F	7	0.00	100.00
scaffold1005.113	scaffold1005	113	F	17	5.88	94.12
scaffold1005.226	scaffold1005	226	F	3	0.00	100.00
scaffold1005.247	scaffold1005	247	F	8	0.00	100.00
scaffold1005.354	scaffold1005	354	F	8	0.00	100.00
scaffold1005.394	scaffold1005	394	F	6	0.00	100.00
scaffold1005.507	scaffold1005	507	F	3	0.00	100.00
scaffold1005.589	scaffold1005	589	F	3	0.00	100.00
scaffold1005.617	scaffold1005	617	F	4	0.00	100.00
scaffold1005.706	scaffold1005	706	F	4	0.00	100.00
scaffold1005.733	scaffold1005	733	F	4	0.00	100.00
scaffold1005.755	scaffold1005	755	F	6	0.00	100.00
scaffold1005.1033	scaffold1005	1033	F	5	0.00	100.00
scaffold1005.1138	scaffold1005	1138	F	3	0.00	100.00
scaffold1005.1140	scaffold1005	1140	F	4	0.00	100.00
scaffold1005.1376	scaffold1005	1376	F	3	0.00	100.00
scaffold1005.2196	scaffold1005	2196	F	22	0.00	100.00
scaffold1005.2217	scaffold1005	2217	F	25	0.00	100.00
scaffold1006.54	scaffold1006	54	F	18	5.56	94.44
scaffold1006.122	scaffold1006	122	F	11	9.09	90.91
scaffold1006.187	scaffold1006	187	F	4	75.00	25.00
scaffold1006.494	scaffold1006	494	F	8	0.00	100.00
scaffold1006.512	scaffold1006	512	F	5	20.00	80.00
scaffold1006.572	scaffold1006	572	F	3	0.00	100.00
scaffold1006.610	scaffold1006	610	F	8	0.00	100.00
scaffold1006.625	scaffold1006	625	F	4	0.00	100.00
scaffold1006.670	scaffold1006	670	F	5	0.00	100.00
scaffold1006.1092	scaffold1006	1092	F	5	0.00	100.00
scaffold1006.1110	scaffold1006	1110	F	3	0.00	100.00
scaffold1006.1571	scaffold1006	1571	F	3	0.00	100.00
scaffold1007.32	scaffold1007	32	F	9	0.00	100.00
scaffold1007.41	scaffold1007	41	F	6	0.00	100.00
scaffold1007.105	scaffold1007	105	F	7	0.00	100.00
scaffold1007.117	scaffold1007	117	F	11	0.00	100.00
scaffold1007.146	scaffold1007	146	F	5	0.00	100.00
scaffold1007.168	scaffold1007	168	F	4	0.00	100.00
scaffold1007.177	scaffold1007	177	F	6	0.00	100.00
scaffold1007.293	scaffold1007	293	F	7	0.00	100.00
scaffold1007.342	scaffold1007	342	F	6	33.33	66.67
scaffold1007.914	scaffold1007	914	F	3	33.33	66.67
scaffold1007.923	scaffold1007	923	F	3	0.00	100.00
scaffold1007.1076	scaffold1007	1076	F	4	0.00	100.00
scaffold1007.1767	scaffold1007	1767	F	3	33.33	66.67
scaffold1007.1897	scaffold1007	1897	F	4	0.00	100.00
scaffold1007.1905	scaffold1007	1905	F	4	0.00	100.00
scaffold1007.1942	scaffold1007	1942	F	4	0.00	100.00
scaffold1007.1949	scaffold1007	1949	F	3	33.33	66.67
scaffold1007.1962	scaffold1007	1962	F	8	0.00	100.00
scaffold1007.1987	scaffold1007	1987	F	8	25.00	75.00
scaffold1007.2128	scaffold1007	2128	F	4	0.00	100.00
scaffold1007.2206	scaffold1007	2206	F	7	0.00	100.00
scaffold1007.2244	scaffold1007	2244	F	7	0.00	100.00
scaffold1007.2255	scaffold1007	2255	F	7	0.00	100.00
scaffold1007.2261	scaffold1007	2261	F	4	0.00	100.00
scaffold1007.2279	scaffold1007	2279	F	6	0.00	100.00
scaffold1007.2309	scaffold1007	2309	F	5	0.00	100.00
scaffold1007.2415	scaffold1007	2415	F	6	0.00	100.00
scaffold1007.2537	scaffold1007	2537	F	4	50.00	50.00
scaffold1007.2650	scaffold1007	2650	F	5	0.00	100.00
scaffold1007.2680	scaffold1007	2680	F	3	0.00	100.00
scaffold1007.3139	scaffold1007	3139	F	4	0.00	100.00
scaffold1007.3180	scaffold1007	3180	F	4	0.00	100.00
scaffold1007.3611	scaffold1007	3611	F	3	0.00	100.00
scaffold1007.3895	scaffold1007	3895	F	4	0.00	100.00
scaffold1007.4282	scaffold1007	4282	F	3	0.00	100.00
scaffold1007.4582	scaffold1007	4582	F	3	0.00	100.00
scaffold1007.4604	scaffold1007	4604	F	3	0.00	100.00
scaffold1007.4608	scaffold1007	4608	F	3	0.00	100.00
scaffold1007.4799	scaffold1007	4799	F	3	0.00	100.00
scaffold1007.4946	scaffold1007	4946	F	3	0.00	100.00
scaffold1007.6393	scaffold1007	6393	F	3	0.00	100.00
scaffold1007.7812	scaffold1007	7812	F	3	0.00	100.00
scaffold1008.45	scaffold1008	45	F	10	0.00	100.00
scaffold1008.53	scaffold1008	53	F	13	0.00	100.00
scaffold1008.56	scaffold1008	56	F	7	0.00	100.00
scaffold1008.67	scaffold1008	67	F	10	0.00	100.00
scaffold1008.81	scaffold1008	81	F	11	9.09	90.91
scaffold1008.111	scaffold1008	111	F	5	0.00	100.00
scaffold1008.129	scaffold1008	129	F	4	0.00	100.00
scaffold1008.246	scaffold1008	246	F	7	0.00	100.00
scaffold1008.290	scaffold1008	290	F	13	0.00	100.00
scaffold1008.330	scaffold1008	330	F	3	0.00	100.00
scaffold1008.353	scaffold1008	353	F	4	25.00	75.00
scaffold1008.385	scaffold1008	385	F	3	0.00	100.00
scaffold1008.429	scaffold1008	429	F	7	14.29	85.71
scaffold1008.479	scaffold1008	479	F	5	0.00	100.00
scaffold1008.560	scaffold1008	560	F	5	0.00	100.00
scaffold1008.633	scaffold1008	633	F	3	0.00	100.00
scaffold1008.665	scaffold1008	665	F	5	0.00	100.00
scaffold1008.667	scaffold1008	667	F	8	12.50	87.50
scaffold1008.1177	scaffold1008	1177	F	29	0.00	100.00
scaffold1008.1812	scaffold1008	1812	F	4	0.00	100.00
scaffold1008.1842	scaffold1008	1842	F	5	0.00	100.00
scaffold1008.1865	scaffold1008	1865	F	4	0.00	100.00
scaffold1008.1893	scaffold1008	1893	F	5	0.00	100.00
scaffold1008.1907	scaffold1008	1907	F	5	0.00	100.00
scaffold1008.1910	scaffold1008	1910	F	7	0.00	100.00
scaffold1008.1914	scaffold1008	1914	F	3	0.00	100.00
scaffold1008.1939	scaffold1008	1939	F	5	0.00	100.00
scaffold1008.1961	scaffold1008	1961	F	3	0.00	100.00
scaffold1009.486	scaffold1009	486	F	4	0.00	100.00
scaffold1009.536	scaffold1009	536	F	3	0.00	100.00
scaffold1009.554	scaffold1009	554	F	4	0.00	100.00
scaffold1009.564	scaffold1009	564	F	5	0.00	100.00
scaffold1009.571	scaffold1009	571	F	3	0.00	100.00
scaffold1009.588	scaffold1009	588	F	3	0.00	100.00
scaffold1009.634	scaffold1009	634	F	3	0.00	100.00
scaffold1009.822	scaffold1009	822	F	8	0.00	100.00
scaffold1009.914	scaffold1009	914	F	6	0.00	100.00
scaffold1009.922	scaffold1009	922	F	7	14.29	85.71
scaffold1009.958	scaffold1009	958	F	6	16.67	83.33
scaffold1009.969	scaffold1009	969	F	6	0.00	100.00
scaffold1009.1200	scaffold1009	1200	F	9	0.00	100.00
scaffold1009.1212	scaffold1009	1212	F	9	0.00	100.00
scaffold1009.2036	scaffold1009	2036	F	3	0.00	100.00
scaffold1009.2195	scaffold1009	2195	F	3	0.00	100.00
scaffold1009.2285	scaffold1009	2285	F	3	0.00	100.00
scaffold1009.2462	scaffold1009	2462	F	3	0.00	100.00
scaffold1009.2467	scaffold1009	2467	F	3	0.00	100.00
scaffold1009.2502	scaffold1009	2502	F	6	0.00	100.00
scaffold1009.2532	scaffold1009	2532	F	3	0.00	100.00
scaffold1009.2550	scaffold1009	2550	F	3	0.00	100.00
scaffold1009.2639	scaffold1009	2639	F	3	0.00	100.00
scaffold1009.3481	scaffold1009	3481	F	3	0.00	100.00
scaffold1009.3487	scaffold1009	3487	F	5	0.00	100.00
scaffold101.78	scaffold101	78	F	15	0.00	100.00
scaffold101.96	scaffold101	96	F	10	0.00	100.00
scaffold101.107	scaffold101	107	F	6	16.67	83.33
scaffold101.111	scaffold101	111	F	9	0.00	100.00
scaffold101.131	scaffold101	131	F	5	0.00	100.00
scaffold101.217	scaffold101	217	F	5	0.00	100.00
scaffold101.227	scaffold101	227	F	3	0.00	100.00
scaffold101.268	scaffold101	268	F	4	0.00	100.00
scaffold101.315	scaffold101	315	F	6	16.67	83.33
scaffold101.324	scaffold101	324	F	12	0.00	100.00
scaffold101.332	scaffold101	332	F	12	0.00	100.00
scaffold101.380	scaffold101	380	F	5	0.00	100.00
scaffold101.401	scaffold101	401	F	19	5.26	94.74
scaffold1010.20	scaffold1010	20	F	7	0.00	100.00
scaffold1010.34	scaffold1010	34	F	7	0.00	100.00
scaffold1010.61	scaffold1010	61	F	4	0.00	100.00
scaffold1010.113	scaffold1010	113	F	3	0.00	100.00
scaffold1010.192	scaffold1010	192	F	7	0.00	100.00
scaffold1010.209	scaffold1010	209	F	6	0.00	100.00
scaffold1010.232	scaffold1010	232	F	5	0.00	100.00
scaffold1010.252	scaffold1010	252	F	4	0.00	100.00
scaffold1010.300	scaffold1010	300	F	4	25.00	75.00
scaffold1010.345	scaffold1010	345	F	3	33.33	66.67
scaffold1010.399	scaffold1010	399	F	9	0.00	100.00
scaffold1010.452	scaffold1010	452	F	4	0.00	100.00
scaffold1010.455	scaffold1010	455	F	3	0.00	100.00
scaffold1010.484	scaffold1010	484	F	3	0.00	100.00
scaffold1010.592	scaffold1010	592	F	5	20.00	80.00
scaffold1010.633	scaffold1010	633	F	5	0.00	100.00
scaffold1010.1183	scaffold1010	1183	F	7	0.00	100.00
scaffold1010.1209	scaffold1010	1209	F	4	0.00	100.00
scaffold1010.1263	scaffold1010	1263	F	7	0.00	100.00
scaffold1010.1475	scaffold1010	1475	F	201	1.49	98.51
scaffold1010.1486	scaffold1010	1486	F	34	8.82	91.18
scaffold1010.1497	scaffold1010	1497	F	7	0.00	100.00
scaffold1010.1503	scaffold1010	1503	F	4	25.00	75.00
scaffold1010.1506	scaffold1010	1506	F	87	1.15	98.85
scaffold1010.1523	scaffold1010	1523	F	235	0.00	100.00
scaffold1010.1536	scaffold1010	1536	F	26	0.00	100.00
scaffold1010.1540	scaffold1010	1540	F	301	0.00	100.00
scaffold1010.1555	scaffold1010	1555	F	248	0.40	99.60
scaffold1010.1594	scaffold1010	1594	F	5	0.00	100.00
scaffold1010.1718	scaffold1010	1718	F	5	0.00	100.00
scaffold1010.1720	scaffold1010	1720	F	140	0.00	100.00
scaffold1010.1783	scaffold1010	1783	F	4	0.00	100.00
scaffold1010.1791	scaffold1010	1791	F	4	0.00	100.00
scaffold1010.1809	scaffold1010	1809	F	12	0.00	100.00
scaffold1010.1889	scaffold1010	1889	F	6	0.00	100.00
scaffold1010.1911	scaffold1010	1911	F	8	0.00	100.00
scaffold1010.1919	scaffold1010	1919	F	11	0.00	100.00
scaffold1010.1926	scaffold1010	1926	F	10	0.00	100.00
scaffold1010.1944	scaffold1010	1944	F	4	0.00	100.00
scaffold1010.1957	scaffold1010	1957	F	5	0.00	100.00
scaffold1010.1981	scaffold1010	1981	F	10	10.00	90.00
scaffold1010.1995	scaffold1010	1995	F	4	0.00	100.00
scaffold1010.2014	scaffold1010	2014	F	3	100.00	0.00
scaffold1010.2016	scaffold1010	2016	F	7	0.00	100.00
scaffold1010.2768	scaffold1010	2768	F	3	0.00	100.00
scaffold1010.2884	scaffold1010	2884	F	3	0.00	100.00
scaffold1010.2962	scaffold1010	2962	F	4	0.00	100.00
scaffold1010.2967	scaffold1010	2967	F	3	0.00	100.00
scaffold1010.3053	scaffold1010	3053	F	3	0.00	100.00
scaffold1010.3135	scaffold1010	3135	F	4	0.00	100.00
scaffold1010.3230	scaffold1010	3230	F	5	0.00	100.00
scaffold1010.3242	scaffold1010	3242	F	5	0.00	100.00
scaffold1010.3378	scaffold1010	3378	F	3	0.00	100.00
scaffold1010.5536	scaffold1010	5536	F	4	0.00	100.00
scaffold1010.5557	scaffold1010	5557	F	4	0.00	100.00
scaffold1010.5687	scaffold1010	5687	F	3	0.00	100.00
scaffold1010.5712	scaffold1010	5712	F	4	0.00	100.00
scaffold1010.5722	scaffold1010	5722	F	27	0.00	100.00
scaffold1010.5763	scaffold1010	5763	F	3	0.00	100.00
scaffold1010.5804	scaffold1010	5804	F	8	0.00	100.00
scaffold1010.5828	scaffold1010	5828	F	17	0.00	100.00
scaffold1010.5886	scaffold1010	5886	F	9	0.00	100.00
scaffold1010.6089	scaffold1010	6089	F	3	33.33	66.67
scaffold1010.6310	scaffold1010	6310	F	3	0.00	100.00
scaffold1010.6534	scaffold1010	6534	F	3	0.00	100.00
scaffold1010.7963	scaffold1010	7963	F	12	0.00	100.00
scaffold1010.8169	scaffold1010	8169	F	7	42.86	57.14
scaffold1011.91	scaffold1011	91	F	10	20.00	80.00
scaffold1011.99	scaffold1011	99	F	6	16.67	83.33
scaffold1011.370	scaffold1011	370	F	6	0.00	100.00
scaffold1011.391	scaffold1011	391	F	11	9.09	90.91
scaffold1011.421	scaffold1011	421	F	6	16.67	83.33
scaffold1011.609	scaffold1011	609	F	8	12.50	87.50
scaffold1011.675	scaffold1011	675	F	14	7.14	92.86
scaffold1011.748	scaffold1011	748	F	6	33.33	66.67
scaffold1011.935	scaffold1011	935	F	22	72.73	27.27
scaffold1011.1262	scaffold1011	1262	F	4	0.00	100.00
scaffold1011.1305	scaffold1011	1305	F	7	0.00	100.00
scaffold1011.1529	scaffold1011	1529	F	3	33.33	66.67
scaffold1011.2234	scaffold1011	2234	F	3	33.33	66.67
scaffold1011.2266	scaffold1011	2266	F	5	0.00	100.00
scaffold1011.2275	scaffold1011	2275	F	10	0.00	100.00
scaffold1011.2439	scaffold1011	2439	F	8	25.00	75.00
scaffold1011.2697	scaffold1011	2697	F	4	0.00	100.00
scaffold1011.3341	scaffold1011	3341	F	3	0.00	100.00
scaffold1011.4861	scaffold1011	4861	F	5	20.00	80.00
scaffold1012.11	scaffold1012	11	F	4	0.00	100.00
scaffold1012.60	scaffold1012	60	F	12	0.00	100.00
scaffold1012.177	scaffold1012	177	F	7	0.00	100.00
scaffold1012.220	scaffold1012	220	F	6	16.67	83.33
scaffold1012.244	scaffold1012	244	F	3	0.00	100.00
scaffold1012.302	scaffold1012	302	F	4	0.00	100.00
scaffold1012.368	scaffold1012	368	F	6	33.33	66.67
scaffold1012.467	scaffold1012	467	F	6	0.00	100.00
scaffold1012.598	scaffold1012	598	F	49	2.04	97.96
scaffold1012.617	scaffold1012	617	F	21	0.00	100.00
scaffold1012.688	scaffold1012	688	F	5	0.00	100.00
scaffold1012.712	scaffold1012	712	F	4	0.00	100.00
scaffold1012.780	scaffold1012	780	F	16	0.00	100.00
scaffold1012.884	scaffold1012	884	F	193	0.00	100.00
scaffold1012.1047	scaffold1012	1047	F	40	0.00	100.00
